code_1;code_2;code_3;code_4;name;genre;Living;brol;brol2;brol3
aar;aar;;aa;Afar;Individual;Living;"Qafaraf; ’Afar Af; Afaraf; Qafar af";;
abk;abk;;ab;Abkhazian;Individual;Living;"Аҧсуа бызшәа; Аҧсшәа";Abkhaz;
ace;ace;;;Achinese;Individual;Living;بهسا اچيه;Acehnese;
ach;ach;;;Acoli;Individual;Living;Lwo;Acholi;
ada;ada;;;Adangme;Individual;Living;Dangme;Dangme;
ady;ady;;;"Adyghe; Adygei";Individual;Living;"Адыгабзэ; Кӏахыбзэ";West Circassian;
afr;afr;;af;Afrikaans;Individual;Living;Afrikaans;;
ain;ain;;;Ainu;Individual;Living;アイヌ・イタㇰ;;
aka;aka;;ak;Akan;Macrolanguage;Living;Akan;;
alb* / sqi;sqi;;sq;Albanian;Macrolanguage;Living;Shqip;;
ale;ale;;;Aleut;Individual;Living;"Унáӈам тунуý; Унаӈан умсуу";;
alt;alt;;;Southern Altai;Individual;Living;Алтай тили;;
amh;amh;;am;Amharic;Individual;Living;አማርኛ;;
anp;anp;;;Angika;Individual;Living;;;
ara;ara;;ar;Arabic;Macrolanguage;Living;العَرَبِيَّة;;
arg;arg;;an;Aragonese;Individual;Living;aragonés;;
arm* / hye;hye;;hy;Armenian;Individual;Living;"Հայերէն; Հայերեն";;
arn;arn;;;"Mapudungun; Mapuche";Individual;Living;;;
arp;arp;;;Arapaho;Individual;Living;Hinónoʼeitíít;;
arw;arw;;;Arawak;Individual;Living;Lokono;Lokono;
asm;asm;;as;Assamese;Individual;Living;অসমীয়া;;
ast;ast;;;"Asturian; Bable; Leonese; Asturleonese";Individual;Living;Asturianu;;
ava;ava;;av;Avaric;Individual;Living;"Магӏарул мацӏ; Авар мацӏ";Avar;
awa;awa;;;Awadhi;Individual;Living;अवधी;;
aym;aym;;ay;Aymara;Macrolanguage;Living;Aymar aru;;
aze;aze;;az;Azerbaijani;Macrolanguage;Living;"Azərbaycan dili; آذربایجان دیلی; Азәрбајҹан дили";;
bak;bak;;ba;Bashkir;Individual;Living;"Башҡорт теле; Başqort tele";;
bal;bal;;;Baluchi;Macrolanguage;Living;بلوچی;Balochi;
bam;bam;;bm;Bambara;Individual;Living;ߓߊߡߊߣߊߣߞߊߣ;;
ban;ban;;;Balinese;Individual;Living;"ᬪᬵᬱᬩᬮᬶ; ᬩᬲᬩᬮᬶ";;
baq* / eus;eus;;eu;Basque;Individual;Living;euskara;;
bas;bas;;;Basa;Individual;Living;"Mbene; Ɓasaá";Basaa;
bej;bej;;;"Beja; Bedawiyet";Individual;Living;Bidhaawyeet;;
bel;bel;;be;Belarusian;Individual;Living;Беларуская мова;;
bem;bem;;;Bemba;Individual;Living;Chibemba;;
ben;ben;;bn;Bengali;Individual;Living;বাংলা;;
bho;bho;;;Bhojpuri;Individual;Living;भोजपुरी;;
bik;bik;;;Bikol;Macrolanguage;Living;;;
bin;bin;;;"Bini; Edo";Individual;Living;Ẹ̀dó;;
bis;bis;;bi;Bislama;Individual;Living;;;
bla;bla;;;Siksika;Individual;Living;ᓱᖽᐧᖿ;Blackfoot;
bod / tib*;bod;;bo;Tibetan;Individual;Living;"བོད་སྐད་; ལྷ་སའི་སྐད་";;
bos;bos;;bs;Bosnian;Individual;Living;"bosanski; босански";;
bra;bra;;;Braj;Individual;Living;;Braj Bhāshā;
bre;bre;;br;Breton;Individual;Living;Brezhoneg;;
bua;bua;;;Buriat;Macrolanguage;Living;буряад хэлэн;Buryat;
bug;bug;;;Buginese;Individual;Living;ᨅᨔ ᨕᨘᨁᨗ;;
bul;bul;;bg;Bulgarian;Individual;Living;български език;;
bur* / mya;mya;;my;Burmese;Individual;Living;"မြန်မာစာ; မြန်မာစကား";Myanmar;
byn;byn;;;"Blin; Bilin";Individual;Living;ብሊና, ብሊን;Bilen;
cad;cad;;;Caddo;Individual;Living;Hasí:nay;;
car;car;;;Galibi Carib;Individual;Living;Kari'nja;Carib;
cat;cat;;ca;"Catalan; Valencian";Individual;Living;català;;
ceb;ceb;;;Cebuano;Individual;Living;Sinugbuanong Binisayâ;;
ces / cze*;ces;;cs;Czech;Individual;Living;"čeština; český jazyk";;
cha;cha;;ch;Chamorro;Individual;Living;Finu' Chamoru;;
che;che;;ce;Chechen;Individual;Living;"Нохчийн мотт; نَاخچیین موٓتت; ნახჩიე მუოთთ";;
chi* / zho;zho;;zh;Chinese;Macrolanguage;Living;"中文; 汉语; 漢語";;
chk;chk;;;Chuukese;Individual;Living;;;
chm;chm;;;Mari;Macrolanguage;Living;марий йылме;;
chn;chn;;;Chinook jargon;Individual;Living;"chinuk wawa; wawa; chinook lelang; lelang";;
cho;cho;;;Choctaw;Individual;Living;Chahta';;
chp;chp;;;"Chipewyan; Dene Suline";Individual;Living;ᑌᓀᓱᒼᕄᓀ (Dënesųłiné);;
chr;chr;;;Cherokee;Individual;Living;ᏣᎳᎩ ᎦᏬᏂᎯᏍᏗ;;
chv;chv;;cv;Chuvash;Individual;Living;Чӑвашла;;
chy;chy;;;Cheyenne;Individual;Living;Tsėhésenėstsestȯtse;;
cnr;cnr;;;Montenegrin;Individual;Living;crnogorski / црногорски;;
cor;cor;;kw;Cornish;Individual;Living;Kernowek;;
cos;cos;;co;Corsican;Individual;Living;"Corsu; Lingua corsa";;
cre;cre;;cr;Cree;Macrolanguage;Living;;;
crh;crh;;;"Crimean Tatar; Crimean Turkish";Individual;Living;"Къырымтатарджа; Къырымтатар тили; Ҡырымтатарҗа; Ҡырымтатар тили";;
csb;csb;;;Kashubian;Individual;Living;Kaszëbsczi jãzëk;Cassubian;
cym / wel*;cym;;cy;Welsh;Individual;Living;"Cymraeg; y Gymraeg";;
cze* / ces;ces;;cs;Czech;Individual;Living;"čeština; český jazyk";;
dak;dak;;;Dakota;Individual;Living;"Dakhótiyapi; Dakȟótiyapi";;
dan;dan;;da;Danish;Individual;Living;dansk;;
dar;dar;;;Dargwa;Individual;Living;дарган мез;;
del;del;;;Delaware;Macrolanguage;Living;;;
den;den;;;Slave (Athapascan);Macrolanguage;Living;Dene K'e;Slavey;
dgr;dgr;;;Dogrib;Individual;Living;डोगरी ڈوگرى;;
din;din;;;Dinka;Macrolanguage;Living;Thuɔŋjäŋ;;
div;div;;dv;"Divehi; Dhivehi; Maldivian";Individual;Living;"ދިވެހި; ދިވެހިބަސް";;
doi;doi;;;Dogri;Macrolanguage;Living;"डोगरी; ڈوگرى";;
dsb;dsb;;;Lower Sorbian;Individual;Living;"Dolnoserbski; Dolnoserbšćina";;
dua;dua;;;Duala;Individual;Living;;;
dut* / nld;nld;;nl;"Dutch; Flemish";Individual;Living;"Nederlands; Vlaams";;
dyu;dyu;;;Dyula;Individual;Living;Julakan;Jula;
dzo;dzo;;dz;Dzongkha;Individual;Living;རྫོང་ཁ་;;
efi;efi;;;Efik;Individual;Living;;;
eka;eka;;;Ekajuk;Individual;Living;;Kajuk;
ell / gre*;ell;;el;Greek, Modern (1453–);Individual;Living;Νέα Ελληνικά;;
eng;eng;;en;English;Individual;Living;English;;
est;est;;et;Estonian;Macrolanguage;Living;eesti keel;;
eus / baq*;eus;;eu;Basque;Individual;Living;euskara;;
ewe;ewe;;ee;Ewe;Individual;Living;Èʋegbe;;
ewo;ewo;;;Ewondo;Individual;Living;;Kolo;
fan;fan;;;Fang;Individual;Living;;;
fao;fao;;fo;Faroese;Individual;Living;føroyskt;;
fas / per*;fas;;fa;Persian;Macrolanguage;Living;فارسی;Farsi;
fat;fat;;;Fanti;Individual;Living;"Mfantse; Fante; Fanti";Fante;
fij;fij;;fj;Fijian;Individual;Living;Na Vosa Vakaviti;;
fil;fil;;;"Filipino; Pilipino";Individual;Living;Wikang Filipino;;
fin;fin;;fi;Finnish;Individual;Living;suomen kieli;;
fon;fon;;;Fon;Individual;Living;Fon gbè;;
fra / fre*;fra;;fr;French;Individual;Living;français;;
fre* / fra;fra;;fr;French;Individual;Living;français;;
frr;frr;;;Northern Frisian;Individual;Living;"Frasch; Fresk; Freesk; Friisk";North Frisian;
frs;frs;;;Eastern Frisian;Individual;Living;Seeltersk;Saterland Frisian;
fry;fry;;fy;Western Frisian;Individual;Living;Frysk;West Frisian;
ful;ful;;ff;Fulah;Macrolanguage;Living;"Fulfulde; Pulaar; Pular";Fula;
fur;fur;;;Friulian;Individual;Living;Furlan;;
gaa;gaa;;;Ga;Individual;Living;Gã;;
gay;gay;;;Gayo;Individual;Living;Basa Gayo;;
gba;gba;;;Gbaya;Macrolanguage;Living;;;
geo* / kat;kat;;ka;Georgian;Individual;Living;ქართული;;
ger* / deu;deu;;de;German;Individual;Living;Deutsch;;
gil;gil;;;Gilbertese;Individual;Living;Taetae ni Kiribati;;
gla;gla;;gd;"Gaelic; Scottish Gaelic";Individual;Living;Gàidhlig;;
gle;gle;;ga;Irish;Individual;Living;Gaeilge;;
glg;glg;;gl;Galician;Individual;Living;galego;;
glv;glv;;gv;Manx;Individual;Living;"Gaelg; Gailck";;
gon;gon;;;Gondi;Macrolanguage;Living;;;
gor;gor;;;Gorontalo;Individual;Living;Bahasa Hulontalo;;
grb;grb;;;Grebo;Macrolanguage;Living;;;
gre* / ell;ell;;el;Greek, Modern (1453–);Individual;Living;Νέα Ελληνικά;;
grn;grn;;gn;Guarani;Macrolanguage;Living;Avañe'ẽ;;
