abaixo (de) ;28;below;debajo (de) ;; unter ;
Um abraço! ;12; Best wishes/Regards ;jUn abrazo! ;;GrüBe! ;
aberto;16; open ;abierto;;offen ;
abril;13; April; abril;; April ;
abrir;24; to open; abrir;; offnen ;
acabar;13; to finish; acabar;; beenden ;
acabar de (fazer algo);29; to have just (done something) acabar de (hacer algo) ;TORbKO YTO (cAenaTb);;;
por acaso ;35; by chance; por casualidad;; zufaliig ;
ação, a;32; action; acción;;Handlung ;
acender;19;to light, to turn on ;encender, enchufar;; einschalten, anzünden ;
acesso, o;24;access;acceso;; Zugang, Zutritt ;
achar;8; to think; creer;; finden, denken ;
acidente, o;34; accident; accidente;;;
acima (de);28; above ;encima (de) ;;über ;
acontecer ;34; to happen; suceder;; geschehen, passieren ;
acordar ;14; to wake up; despertarse ;; aufwachen ;
açúcar, o ;1;sugar; azúcar ;; Zucker ;
Adeus!;1; Goodbye!; Adiós! ;; Tschüss!, Auf Wiedersehen! ;
admirar ;26; to admire; admirar;; bewundern ;
adorar;11; to adore; encantar;; lieben, über alies lieben ;
adormecer ;31; to fall asleep; quedarse dormido;; einschlafen ;
adotar;32; to adopt; adaptar;;adoptieren, aneignen ;
adulto, o;24; adult ; adulto;;;
advogado, o;6; lawyer; abogado;; Rechtsanwalt ;
aeroporto, o;2; airport; aeropuerto;; Flughafen ;
agência de viagens, a;18; travel agency ;agencia de viajes;;Reisebüro ;
agora;3; now ;ahora;; jetzt ;
agosto ;13; August; agosto;; August ;
agradável ;18; nice; agradable;;angenehm, erfreulich ;
água, a; P1; water; agua;; Wasser ;
aí;5; there;alli;; da ;
ainda;9; still, yet; aún;; noch ;
Ainda bem!;13; That's good!; jMenos mal!;; Zum Glückl ;
ajuda, a ;23; help; ayuda;; Hilfe ;
ajudar;23; to help; ayudar;;helfen ;
alcool, o;15; alcohol; alcohol;; Alkohol ;
aldeia, a 37 village;37;village; pueblo;; Dorf ;
alegre;38; cheerful; alegre eecênblH ;;heiter, lustig ;
além disso;18; besides; además;; desweiteren ;
alemão ;1; German; alemán;; deutsch ;
alérgico;32; allergic; alérgico;;allergisch ;
alfabeto, o;19; alphabet; alfabeto;; Alphabet ;
algo ;19; something; algo;;etwas ;
alguém;19; someone; alguien;; jemand ;
algum;15; some ;algún;; einige ;
ali;5; there;alli;; dort;
alimentação, a;32; food; alimentación;; Ernahrung ;
almoçar ;12; to have lunch; almorzar ;;Mittag essen ;
almoço, o;14; lunch; almuerzo;; Mittagessen ;
alojamento, o ;18; accommodation; alojamiento;; Unterkunft ;
alterar ;36; to change; cambiar;; ãndern, verandern ;
de altura média;10; medium height; de estatura media;;mittlere KõrpergrõOe ;
naquela altura;37; then; en aquella época;; damals ;
alto ;10; tall, high ;alto;;groB ;
alugar;22; to rent, to hire; alquilar;; mieten ;
aluno, o;6; student; alumno;;Schüler ;
amanhã ;13; tomorrow; mañana;; morgen ;
Até amanhã!;1; See you tomorrow!; Hasta mañana!;; Bis morgen! ;
amar;32; to love; amar;; lieben ;
amarelo ;4; yellow; amarillo;; gelb ;
amargo ;P4; bitter ;amargo;; bitter ;
ambiente, o ;30; ambience ;ambiente ;;Atmosphãre ;
ambos;33; both; ambos;; beide ;
ambulância, a ;34; ambulance; ambulancia;; Krankenwagen ;
americano;3; American; estadounidense ;; Amerikaner ;
amigo, o;9; friend ;amigo;; Freund ;
amor, o;32; love; amor;;Liebe ;
andar ;9; to walk; andar;; laufen ;
andar (na escola);9; to be at school ; ir (ai colegio) ;; die Schule besuchen ;
andar (a fazer algo);30; to be (doing something); estar (haciendo algo);; damit beschaftigt sein, etwas zu tun;
andar (de carro) ;12; to go (by car); ir (en coche);; Auto fahren ;
andar (de fato);33; to wear a suit;vestir (de traje);; (einen Anzug) tragen ;
andar, o ;6; floor; piso;; Stockwerk ;
angolano;3; Angolan; angoleño;;Angolaner ;
animal, o;11; animal; animal;; Tier ;
ano, o;6; year; ano;; Jahr ;
o ano novo, o ;13;New Year; Año Nuevo;; Neujahr ;
 fazer anos;13; birthday; cumplir años;;Geburtstag haben; 
 anteontem ;31; the day before yesterday ;anteayer ;; vorgestern ;
antes (de);14; before ;antes (de);; bevor  ;
antigamente ;37; in the past; antiguamente;; früher  ;
antigo ;7; old, ancient; antiguo;;alt ;
antipático ;7; unfriendly ;antipático;;unsympathisch ;
anualmente ;24; annually ;anualmente ;;jãhrlich ;
anúncio, o;22; advertisement; anuncio;;Anzeige ;
apagar;19; to put out, to turn off; apagar;; ausschalten, liischen ;
apaixonar-se (por);35; to fall in love (with); enamorarse (de);; sich in jemanden verlieben ;
apanhar ;16; to catch ;coger;; nehmen, fangen ;
apanhar sol ;12; to sunbathe ;tomar el sol ;;sich sonnen ;
aparecer;38; to show up; aparecer;;erscheinen, auftauchen ;
aparência física, a;10; physical appearance; aspecto físico;; Aussehen, Erscheinung ;
apartamento, o;6; flat; apartamento;; Wohnung ;
apelido, o;6; surname ;apellido;;Nachname ;
apenas ;30; only, just; solo/solamente ;; nur ;
apertado; P8; tight; apretado;; eng ;
apetecer ;33; to feel like (doing something); apetecer;; auf etwas Lust haben ;
Bom apetite! ;26; Enjoy your meal!; Buen provecho!;; Guten Appetit! ;
aprender ;20; to learn; aprender;; lernen ;
apresentar ;35; to introduce ;presentar;; vorstellen ;
aquecimento central, o;22; central heating; calefacción central;;Zentralheizung ;
aquele;9; that ;aquel;; dort ;
aqui ;5; here; aquí;; hier ;
Aqui está!; P1; Here you are!; iEstá aquí! ;; Hier ist es! ;
aquilo ;4; that ;aquello;;das dort ;
ar, o;36; air; aire;; Luft ;
ar condicionado, o;16; air-conditioning; aire acondicionado ;;Klimaanlage ;
árabe;3; Arabic; árabe;; Araber ;
área, a;18; area ;área;;Flache, Gebiet ;
arquiteto, o;8;architect; arquitecto;; Architekt ;
arranjar (bilhete);36; to get (a ticket); conseguir (una entrada);; besorgen (Eintrittskarte) ;
arroz, o;15; rice; arroz;; Reis ;
arrumar;27; to tidy ;ordenar;; aufraumen ;
arte, a;29; art ;arte;; Kunst ;
artista, o/a;12; artist; artista;; Künstler/in ;
árvore, a ;22;tree;árbol ;;Baum ;
aspirar;27; to vacuum; aspirar;; staubsaugen ;
aspirina, a ;33;aspirin;aspirina;;Aspirin;
assado ;16;; asado;; gebraten ;
assento, o;40; seat ;asiento;; Sitz ;
assim ;12; like this; así;; so ;
assinar ;25; to sign; firmar;; unterschreiben ;
assinatura, a ;AC; signature; firma;; Unterschrift ;
assistência, a;38; assistance; asistencia;; Versorgung, Fürsorge ;
assistir (a um jogo);26; to attend (a game); asistir (a un partido);;ein Spiell besuchen ;
assoalhada, a;22;room; habitación ;; Zimmer ;
até ;8; even, until; incluso, hasta;; segar/bis ;
ateliê, o;8; studio ;estudio de arquitectura;; Atelier ;
Atenção!;35; Look out!; Atención!;;Achtung! ;
atender (o telefone);20;to answer (the phone); atender (el teléfono);;ans Telefon gehen ;
aterrar;40; to land ;aterrizar;; landen ;
ativo;36; active; active;; aktiv ;
ator, o;6; actor; actor;; Schauspieler ;
atrás (de);16; behind; detrás {de);; hinter ;
atrasado ;14; late, delayed; retrasado;; verspatet ;
chegar com atraso;23; to arrive late; llegar con retraso;;zu spat kommen ;
atravessar;20; to cross ;cruzar;;überqueren ;
atriz, a ;6; actress; actriz;; Schauspielerin ;
aula, a;13; class ;clase;; Unterricht ;
autocarro, o;21; bus; autobús;; Bus ;
autoestrada, a;36; motorway ;autopista ;; Autobahn ;
autor, o;35; author; autor;; Autor ;
avariado ;25; out of order; estropeado;; kaputt, defekt  ;
avenida, a;24; avenue ;avenida;;Allee ;
avião, o; P1; plane; avión;;Flugzeug ;
avisar;23; to inform, to warn ;avisar;;Bescheid geben, warnen ;
avô,a;9; grandmother; abuela;; Großmutter ;
avô, o ;9; grandfather; abuelo;; Großvater ;
azeite, o;15; olive oil; acerte ;; Olivenöl ;
azeitona, a;17; olive; aceituna;;olive ;
azul ;4; blue; azul;; Blau ;
azulejo, o ;26; tile; azulejo;;  Kachel, Fliese ;
