Grã-Bretanha, a ;18;Great Britain 
Grécia, a ;2;Greece 
Helsínquia ;AC ;Helsinki 
Holanda, a ;AC ;Netherlands 
Índia, a ;2;lndia 
Inglaterra, a ;2;England 
Irlanda, a ;4;lreland 
Itália, a ;2;ltaly 
Japão, o ;2;Japan 
Líbano, o ;39;Lebanon 
Lisboa ;2;Lisbon 
Londres ;2;London 
Macau ;7;Macao 
Maldivas, as ;38;Maldives 
Marrocos ;2;Morocco 
México, o ;2;Mexico 
Milão ;2;Milan 
Mongólia, a ;21;Mongolia 
Moscovo ;2;Moscow 
Noruega, a ;R13/16 ;Norway 
Nova Iorque ;2;New York 
Pequim ;2;Beijing 
Polónia, a ;2;Poland 
Portugal ;2;Portugal 
Roma ;2;Reme 
Rússia, a ;2;Russia 
Suécia, a ;2;Sweden 
Suíça, a ;AC ;Switzerland 
Tóquio ;2;Tokyo 
Turquia, a ;31;Turkey 
Ucrânia, a ;2;Ukraine 
Varsóvia ;2;Warsaw 
Veneza ;2;Venice
